condition,gene,n_folds,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
baseline1_xgboost,TP53,5,0.5175686274509804,0.02506541997930509,0.5337559149521397,0.026414036512298664,0.4978225641431579,0.05552827774146215
baseline1_xgboost,EGFR,5,0.6338228892198419,0.032692292227162176,0.23493720094677842,0.04220646495398842,0.16716278612830338,0.05101711806095044
baseline1_xgboost,KRAS,5,0.5219648219648219,0.0569205733737689,0.2897443721387113,0.034822812360036974,0.2792360014741277,0.0400038104863239
baseline1_xgboost,STK11,5,0.544524728145418,0.055352539657842814,0.1711687339723227,0.020648064703172146,0.12413769805074151,0.04567878300442863
baseline1_xgboost,KEAP1,5,0.48883372600371533,0.034169815082687016,0.19486060463948177,0.014243567879523395,0.1496434937611408,0.06378025145447332
baseline1_xgboost,RBM10,5,0.47416413373860183,0.10054773726940605,0.10517457446761258,0.056304754392161344,0.05,0.10000000000000002
baseline2_abmil_embeddings,TP53,5,0.7176470588235295,0.05303086085477818,0.6950283799073318,0.04341776316394089,0.6403632478632478,0.07059999790986207
baseline2_abmil_embeddings,EGFR,5,0.701168518730668,0.04850848507977933,0.3596644312296565,0.03963952152099363,0.10975163398692811,0.11692681783762826
baseline2_abmil_embeddings,KRAS,5,0.60726019561636,0.0782190866037735,0.35959783238237664,0.05368484794016206,0.24867435969603155,0.13876437462230493
baseline2_abmil_embeddings,STK11,5,0.6843354920941128,0.0420659488953525,0.3061927477053394,0.06490064020897934,0.07833333333333332,0.06403124237432849
baseline2_abmil_embeddings,KEAP1,5,0.5974475565935113,0.0813561077472454,0.2639696456013221,0.06402116679449715,0.07743589743589743,0.06552072309203871
baseline2_abmil_embeddings,RBM10,5,0.6416413373860183,0.054443790717464746,0.2040811878834669,0.045098987587082855,0.0,0.0
baseline3_abmil_patterns,TP53,5,0.615843137254902,0.043300653101492156,0.611356131990821,0.05119306646613502,0.5494911637616559,0.08710039738804966
baseline3_abmil_patterns,EGFR,5,0.6252048726467332,0.04377458528629295,0.25412942293212637,0.03963596612590617,0.0,0.0
baseline3_abmil_patterns,KRAS,5,0.5445984144614282,0.07638959135176805,0.30803428611416994,0.05207718389086819,0.0,0.0
baseline3_abmil_patterns,STK11,5,0.6166784365060227,0.049941450038715626,0.2061220696357239,0.05311887791048838,0.0,0.0
baseline3_abmil_patterns,KEAP1,5,0.5879361691524335,0.030876815588356456,0.24415979676873273,0.015464271628706396,0.0,0.0
baseline3_abmil_patterns,RBM10,5,0.652887537993921,0.08068520593364854,0.14395182300979492,0.03551624339160393,0.0,0.0
proposed_abmil_concat,TP53,5,0.7164705882352941,0.05798513643748687,0.7014309671326947,0.0502131384580587,0.5774999786648674,0.1009369068223078
proposed_abmil_concat,EGFR,5,0.6935433612097606,0.05064693304269012,0.327098821618,0.021104339717394498,0.11352941176470588,0.10187854903916359
proposed_abmil_concat,KRAS,5,0.5898655994546405,0.07118895209133715,0.3597258229363536,0.05571172537449976,0.14222222222222222,0.09940253617252864
proposed_abmil_concat,STK11,5,0.6950299700299701,0.022894621839901947,0.30877609553403945,0.05491147198464409,0.136231884057971,0.166912232450875
proposed_abmil_concat,KEAP1,5,0.6098021525554507,0.07144778360755484,0.2845182584981621,0.05627981565618485,0.04863883847549909,0.060459274957987696
proposed_abmil_concat,RBM10,5,0.6398176291793313,0.0642553479049721,0.17579111960431748,0.03775572144561638,0.0,0.0
ablation_abmil_onehot,TP53,5,0.7157647058823529,0.049812505050055286,0.6983434135445972,0.043814159186615256,0.6741754083275822,0.0565987251439686
ablation_abmil_onehot,EGFR,5,0.6950211937220758,0.04631207612400672,0.34232668898479357,0.04534489312011033,0.18235552682611506,0.06618317159301314
ablation_abmil_onehot,KRAS,5,0.594302521699782,0.07145615151794038,0.3735485708629308,0.08243523396422962,0.13849007314524556,0.09948470882865118
ablation_abmil_onehot,STK11,5,0.6909257409257409,0.04954581816194674,0.3441406595600721,0.06519513306151087,0.13588516746411483,0.16711104270195654
ablation_abmil_onehot,KEAP1,5,0.5940699039203454,0.08209923296770581,0.2702355088312966,0.07296375082007554,0.03481481481481481,0.04342029893260103
ablation_abmil_onehot,RBM10,5,0.6227963525835867,0.048264184922898516,0.17461764721733483,0.04982311283888357,0.0,0.0
proposed_fuzzy_choquet,TP53,5,0.716156862745098,0.046629017602600444,0.7060369250094846,0.029666370827250124,0.6488384603109617,0.056238965703104514
proposed_fuzzy_choquet,EGFR,5,0.6840974529346624,0.03678118154101767,0.3157572398400238,0.04975273007019378,0.19117874396135265,0.14610614985231804
proposed_fuzzy_choquet,KRAS,5,0.6088395636340842,0.05872934342199969,0.37660229718228816,0.048384601084294744,0.1903238866396761,0.11873628489308752
proposed_fuzzy_choquet,STK11,5,0.6582589823969135,0.07706901600610208,0.2710049133517685,0.03878038228391072,0.10176767676767677,0.1005659426726068
proposed_fuzzy_choquet,KEAP1,5,0.588637992277196,0.08017817022671772,0.2622227621424239,0.04927394484661407,0.08091728091728093,0.10230156244832674
proposed_fuzzy_choquet,RBM10,5,0.6607902735562309,0.06325110383936564,0.17997655446657607,0.05025168262401586,0.04444444444444444,0.08888888888888888
